			GMRT Grid Version 4.1.1
Longitude	Latitude	Distance (km)	Elevation (m)
-87.5171	9.5867	0.0	-3236.0647
-87.5163	9.5874	0.12037322	-3240.0515
-87.5154	9.5881	0.24074651	-3242.791
-87.5146	9.5888	0.3611198	-3241.2065
-87.5138	9.5895	0.48149306	-3238.964
-87.5130	9.5902	0.6018663	-3238.3342
-87.5121	9.5910	0.72223955	-3238.3374
-87.5113	9.5917	0.8426128	-3241.0244
-87.5105	9.5924	0.962986	-3244.9265
-87.5097	9.5931	1.0833591	-3246.0063
-87.5088	9.5938	1.2037324	-3246.74
-87.5080	9.5945	1.3241056	-3246.996
-87.5072	9.5952	1.4444789	-3244.626
-87.5064	9.5960	1.564852	-3240.1384
-87.5055	9.5967	1.6852252	-3237.5825
-87.5047	9.5974	1.8055985	-3237.087
-87.5039	9.5981	1.9259717	-3235.747
-87.5031	9.5988	2.046345	-3232.6113
-87.5022	9.5995	2.1667182	-3230.0234
-87.5014	9.6002	2.2870915	-3228.8403
-87.5006	9.6009	2.4074647	-3228.4695
-87.4998	9.6017	2.527838	-3228.3489
-87.4989	9.6024	2.6482112	-3227.5867
-87.4981	9.6031	2.7685845	-3227.2678
-87.4973	9.6038	2.8889577	-3228.774
-87.4965	9.6045	3.009331	-3231.7747
-87.4956	9.6052	3.1297042	-3234.304
-87.4948	9.6059	3.2500775	-3236.9187
-87.4940	9.6067	3.3704507	-3246.916
-87.4932	9.6074	3.490824	-3273.9373
-87.4923	9.6081	3.6111972	-3278.6458
-87.4915	9.6088	3.7315705	-3281.6104
-87.4907	9.6095	3.8519437	-3285.4873
-87.4899	9.6102	3.972317	-3284.3623
-87.4890	9.6109	4.0926905	-3282.9595
-87.4882	9.6117	4.2130637	-3282.9373
-87.4874	9.6124	4.333437	-3284.0496
-87.4866	9.6131	4.45381	-3283.0664
-87.4857	9.6138	4.5741835	-3281.4717
-87.4849	9.6145	4.6945567	-3280.0366
-87.4841	9.6152	4.81493	-3278.837
-87.4833	9.6159	4.935303	-3276.687
-87.4824	9.6167	5.0556765	-3273.76
-87.4816	9.6174	5.1760497	-3271.824
-87.4808	9.6181	5.296423	-3270.5063
-87.4799	9.6188	5.416796	-3270.0847
-87.4791	9.6195	5.5371695	-3269.9795
-87.4783	9.6202	5.6575427	-3269.892
-87.4775	9.6209	5.777916	-3268.235
-87.4767	9.6217	5.898289	-3267.6394
-87.4758	9.6224	6.0186625	-3268.4624
-87.4750	9.6231	6.1390357	-3270.1633
-87.4742	9.6238	6.259409	-3272.552
-87.4734	9.6245	6.379782	-3275.9448
-87.4725	9.6252	6.5001554	-3279.3767
