#SPATIAL.ascii 1
SimpleDB {
  num-values =      1
  value-names =  initial_amplitude
  value-units =  Pa
  num-locs =   3000
  data-dim =    1
  space-dim =    2
  cs-data = cartesian {
  to-meters = 1
  space-dim = 2
}
}
  2.000000e+04 -3.000000e+04 -3.321142e+09
  2.000000e+04 -2.999000e+04 -3.318927e+09
  2.000000e+04 -2.997999e+04 -3.316712e+09
  2.000000e+04 -2.996999e+04 -3.314497e+09
  2.000000e+04 -2.995999e+04 -3.312283e+09
  2.000000e+04 -2.994998e+04 -3.310068e+09
  2.000000e+04 -2.993998e+04 -3.307853e+09
  2.000000e+04 -2.992998e+04 -3.305638e+09
  2.000000e+04 -2.991997e+04 -3.303423e+09
  2.000000e+04 -2.990997e+04 -3.301208e+09
  2.000000e+04 -2.989997e+04 -3.298994e+09
  2.000000e+04 -2.988996e+04 -3.296779e+09
  2.000000e+04 -2.987996e+04 -3.294564e+09
  2.000000e+04 -2.986996e+04 -3.292349e+09
  2.000000e+04 -2.985995e+04 -3.290134e+09
  2.000000e+04 -2.984995e+04 -3.287919e+09
  2.000000e+04 -2.983995e+04 -3.285705e+09
  2.000000e+04 -2.982994e+04 -3.283490e+09
  2.000000e+04 -2.981994e+04 -3.281275e+09
  2.000000e+04 -2.980994e+04 -3.279060e+09
  2.000000e+04 -2.979993e+04 -3.276845e+09
  2.000000e+04 -2.978993e+04 -3.274630e+09
  2.000000e+04 -2.977993e+04 -3.272416e+09
  2.000000e+04 -2.976992e+04 -3.270201e+09
  2.000000e+04 -2.975992e+04 -3.267986e+09
  2.000000e+04 -2.974992e+04 -3.265771e+09
  2.000000e+04 -2.973991e+04 -3.263556e+09
  2.000000e+04 -2.972991e+04 -3.261341e+09
  2.000000e+04 -2.971991e+04 -3.259127e+09
  2.000000e+04 -2.970990e+04 -3.256912e+09
  2.000000e+04 -2.969990e+04 -3.254697e+09
  2.000000e+04 -2.968990e+04 -3.252482e+09
  2.000000e+04 -2.967989e+04 -3.250267e+09
  2.000000e+04 -2.966989e+04 -3.248052e+09
  2.000000e+04 -2.965989e+04 -3.245838e+09
  2.000000e+04 -2.964988e+04 -3.243623e+09
  2.000000e+04 -2.963988e+04 -3.241408e+09
  2.000000e+04 -2.962988e+04 -3.239193e+09
  2.000000e+04 -2.961987e+04 -3.236978e+09
  2.000000e+04 -2.960987e+04 -3.234763e+09
  2.000000e+04 -2.959987e+04 -3.232549e+09
  2.000000e+04 -2.958986e+04 -3.230334e+09
  2.000000e+04 -2.957986e+04 -3.228119e+09
  2.000000e+04 -2.956986e+04 -3.225904e+09
  2.000000e+04 -2.955985e+04 -3.223689e+09
  2.000000e+04 -2.954985e+04 -3.221474e+09
  2.000000e+04 -2.953985e+04 -3.219260e+09
  2.000000e+04 -2.952984e+04 -3.217045e+09
  2.000000e+04 -2.951984e+04 -3.214830e+09
  2.000000e+04 -2.950984e+04 -3.212615e+09
  2.000000e+04 -2.949983e+04 -3.210400e+09
  2.000000e+04 -2.948983e+04 -3.208185e+09
  2.000000e+04 -2.947983e+04 -3.205971e+09
  2.000000e+04 -2.946982e+04 -3.203756e+09
  2.000000e+04 -2.945982e+04 -3.201541e+09
  2.000000e+04 -2.944982e+04 -3.199326e+09
  2.000000e+04 -2.943981e+04 -3.197111e+09
  2.000000e+04 -2.942981e+04 -3.194896e+09
  2.000000e+04 -2.941981e+04 -3.192682e+09
  2.000000e+04 -2.940980e+04 -3.190467e+09
  2.000000e+04 -2.939980e+04 -3.188252e+09
  2.000000e+04 -2.938980e+04 -3.186037e+09
  2.000000e+04 -2.937979e+04 -3.183822e+09
  2.000000e+04 -2.936979e+04 -3.181607e+09
  2.000000e+04 -2.935979e+04 -3.179393e+09
  2.000000e+04 -2.934978e+04 -3.177178e+09
  2.000000e+04 -2.933978e+04 -3.174963e+09
  2.000000e+04 -2.932978e+04 -3.172748e+09
  2.000000e+04 -2.931977e+04 -3.170533e+09
  2.000000e+04 -2.930977e+04 -3.168319e+09
  2.000000e+04 -2.929977e+04 -3.166104e+09
  2.000000e+04 -2.928976e+04 -3.163889e+09
  2.000000e+04 -2.927976e+04 -3.161674e+09
  2.000000e+04 -2.926976e+04 -3.159459e+09
  2.000000e+04 -2.925975e+04 -3.157244e+09
  2.000000e+04 -2.924975e+04 -3.155030e+09
  2.000000e+04 -2.923975e+04 -3.152815e+09
  2.000000e+04 -2.922974e+04 -3.150600e+09
  2.000000e+04 -2.921974e+04 -3.148385e+09
  2.000000e+04 -2.920974e+04 -3.146170e+09
  2.000000e+04 -2.919973e+04 -3.143955e+09
  2.000000e+04 -2.918973e+04 -3.141741e+09
  2.000000e+04 -2.917973e+04 -3.139526e+09
  2.000000e+04 -2.916972e+04 -3.137311e+09
  2.000000e+04 -2.915972e+04 -3.135096e+09
  2.000000e+04 -2.914972e+04 -3.132881e+09
  2.000000e+04 -2.913971e+04 -3.130666e+09
  2.000000e+04 -2.912971e+04 -3.128452e+09
  2.000000e+04 -2.911971e+04 -3.126237e+09
  2.000000e+04 -2.910970e+04 -3.124022e+09
  2.000000e+04 -2.909970e+04 -3.121807e+09
  2.000000e+04 -2.908970e+04 -3.119592e+09
  2.000000e+04 -2.907969e+04 -3.117377e+09
  2.000000e+04 -2.906969e+04 -3.115163e+09
  2.000000e+04 -2.905969e+04 -3.112948e+09
  2.000000e+04 -2.904968e+04 -3.110733e+09
  2.000000e+04 -2.903968e+04 -3.108518e+09
  2.000000e+04 -2.902968e+04 -3.106303e+09
  2.000000e+04 -2.901967e+04 -3.104088e+09
  2.000000e+04 -2.900967e+04 -3.101874e+09
  2.000000e+04 -2.899967e+04 -3.099659e+09
  2.000000e+04 -2.898966e+04 -3.097444e+09
  2.000000e+04 -2.897966e+04 -3.095229e+09
  2.000000e+04 -2.896966e+04 -3.093014e+09
  2.000000e+04 -2.895965e+04 -3.090799e+09
  2.000000e+04 -2.894965e+04 -3.088585e+09
  2.000000e+04 -2.893965e+04 -3.086370e+09
  2.000000e+04 -2.892964e+04 -3.084155e+09
  2.000000e+04 -2.891964e+04 -3.081940e+09
  2.000000e+04 -2.890964e+04 -3.079725e+09
  2.000000e+04 -2.889963e+04 -3.077510e+09
  2.000000e+04 -2.888963e+04 -3.075296e+09
  2.000000e+04 -2.887963e+04 -3.073081e+09
  2.000000e+04 -2.886962e+04 -3.070866e+09
  2.000000e+04 -2.885962e+04 -3.068651e+09
  2.000000e+04 -2.884962e+04 -3.066436e+09
  2.000000e+04 -2.883961e+04 -3.064221e+09
  2.000000e+04 -2.882961e+04 -3.062007e+09
  2.000000e+04 -2.881961e+04 -3.059792e+09
  2.000000e+04 -2.880960e+04 -3.057577e+09
  2.000000e+04 -2.879960e+04 -3.055362e+09
  2.000000e+04 -2.878960e+04 -3.053147e+09
  2.000000e+04 -2.877959e+04 -3.050932e+09
  2.000000e+04 -2.876959e+04 -3.048718e+09
  2.000000e+04 -2.875959e+04 -3.046503e+09
  2.000000e+04 -2.874958e+04 -3.044288e+09
  2.000000e+04 -2.873958e+04 -3.042073e+09
  2.000000e+04 -2.872958e+04 -3.039858e+09
  2.000000e+04 -2.871957e+04 -3.037643e+09
  2.000000e+04 -2.870957e+04 -3.035429e+09
  2.000000e+04 -2.869957e+04 -3.033214e+09
  2.000000e+04 -2.868956e+04 -3.030999e+09
  2.000000e+04 -2.867956e+04 -3.028784e+09
  2.000000e+04 -2.866956e+04 -3.026569e+09
  2.000000e+04 -2.865955e+04 -3.024354e+09
  2.000000e+04 -2.864955e+04 -3.022140e+09
  2.000000e+04 -2.863955e+04 -3.019925e+09
  2.000000e+04 -2.862954e+04 -3.017710e+09
  2.000000e+04 -2.861954e+04 -3.015495e+09
  2.000000e+04 -2.860954e+04 -3.013280e+09
  2.000000e+04 -2.859953e+04 -3.011065e+09
  2.000000e+04 -2.858953e+04 -3.008851e+09
  2.000000e+04 -2.857953e+04 -3.006636e+09
  2.000000e+04 -2.856952e+04 -3.004421e+09
  2.000000e+04 -2.855952e+04 -3.002206e+09
  2.000000e+04 -2.854952e+04 -2.999991e+09
  2.000000e+04 -2.853951e+04 -2.997776e+09
  2.000000e+04 -2.852951e+04 -2.995562e+09
  2.000000e+04 -2.851951e+04 -2.993347e+09
  2.000000e+04 -2.850950e+04 -2.991132e+09
  2.000000e+04 -2.849950e+04 -2.988917e+09
  2.000000e+04 -2.848950e+04 -2.986702e+09
  2.000000e+04 -2.847949e+04 -2.984487e+09
  2.000000e+04 -2.846949e+04 -2.982273e+09
  2.000000e+04 -2.845949e+04 -2.980058e+09
  2.000000e+04 -2.844948e+04 -2.977843e+09
  2.000000e+04 -2.843948e+04 -2.975628e+09
  2.000000e+04 -2.842948e+04 -2.973413e+09
  2.000000e+04 -2.841947e+04 -2.971198e+09
  2.000000e+04 -2.840947e+04 -2.968984e+09
  2.000000e+04 -2.839947e+04 -2.966769e+09
