#SPATIAL.ascii 1
SimpleDB {
  num-values =      1
  value-names =  initial_amplitude
  value-units =  Pa
  num-locs =   1836
  data-dim =    1
  space-dim =    2
  cs-data = cartesian {
  to-meters = 1
  space-dim = 2
}
}
 -1.143558e+05  0.000000e+00  3.212025e+07
 -1.142558e+05  0.000000e+00  3.213607e+07
 -1.141558e+05  0.000000e+00  3.215171e+07
 -1.140558e+05  0.000000e+00  3.216717e+07
 -1.139558e+05  0.000000e+00  3.218245e+07
 -1.138558e+05  0.000000e+00  3.219755e+07
 -1.137558e+05  0.000000e+00  3.221247e+07
 -1.136558e+05  0.000000e+00  3.222721e+07
 -1.135558e+05  0.000000e+00  3.224178e+07
 -1.134558e+05  0.000000e+00  3.225618e+07
 -1.133558e+05  0.000000e+00  3.227039e+07
 -1.132558e+05  0.000000e+00  3.228444e+07
 -1.131558e+05  0.000000e+00  3.229831e+07
 -1.130558e+05  0.000000e+00  3.231201e+07
 -1.129558e+05  0.000000e+00  3.232554e+07
 -1.128558e+05  0.000000e+00  3.233890e+07
 -1.127558e+05  0.000000e+00  3.235209e+07
 -1.126558e+05  0.000000e+00  3.236511e+07
 -1.125558e+05  0.000000e+00  3.237796e+07
 -1.124558e+05  0.000000e+00  3.239065e+07
 -1.123558e+05  0.000000e+00  3.240317e+07
 -1.122558e+05  0.000000e+00  3.241552e+07
 -1.121558e+05  0.000000e+00  3.242771e+07
 -1.120558e+05  0.000000e+00  3.243974e+07
 -1.119558e+05  0.000000e+00  3.245160e+07
 -1.118558e+05  0.000000e+00  3.246330e+07
 -1.117558e+05  0.000000e+00  3.247484e+07
 -1.116558e+05  0.000000e+00  3.248622e+07
 -1.115558e+05  0.000000e+00  3.249744e+07
 -1.114558e+05  0.000000e+00  3.250850e+07
 -1.113558e+05  0.000000e+00  3.251941e+07
 -1.112558e+05  0.000000e+00  3.253015e+07
 -1.111558e+05  0.000000e+00  3.254074e+07
 -1.110558e+05  0.000000e+00  3.255117e+07
 -1.109558e+05  0.000000e+00  3.256145e+07
 -1.108558e+05  0.000000e+00  3.257158e+07
 -1.107558e+05  0.000000e+00  3.258155e+07
 -1.106558e+05  0.000000e+00  3.259137e+07
 -1.105558e+05  0.000000e+00  3.260103e+07
 -1.104558e+05  0.000000e+00  3.261055e+07
 -1.103558e+05  0.000000e+00  3.261991e+07
 -1.102558e+05  0.000000e+00  3.262913e+07
 -1.101558e+05  0.000000e+00  3.263820e+07
 -1.100558e+05  0.000000e+00  3.264712e+07
 -1.099558e+05  0.000000e+00  3.265589e+07
 -1.098558e+05  0.000000e+00  3.266451e+07
 -1.097558e+05  0.000000e+00  3.267300e+07
 -1.096558e+05  0.000000e+00  3.268133e+07
 -1.095558e+05  0.000000e+00  3.268952e+07
 -1.094558e+05  0.000000e+00  3.269757e+07
 -1.093558e+05  0.000000e+00  3.270548e+07
 -1.092558e+05  0.000000e+00  3.271324e+07
 -1.091558e+05  0.000000e+00  3.272087e+07
 -1.090558e+05  0.000000e+00  3.272835e+07
 -1.089558e+05  0.000000e+00  3.273570e+07
 -1.088558e+05  0.000000e+00  3.274290e+07
 -1.087558e+05  0.000000e+00  3.274997e+07
 -1.086558e+05  0.000000e+00  3.275690e+07
 -1.085558e+05  0.000000e+00  3.276369e+07
 -1.084558e+05  0.000000e+00  3.277035e+07
 -1.083558e+05  0.000000e+00  3.277688e+07
 -1.082558e+05  0.000000e+00  3.278327e+07
 -1.081558e+05  0.000000e+00  3.278952e+07
 -1.080558e+05  0.000000e+00  3.279565e+07
 -1.079558e+05  0.000000e+00  3.280164e+07
 -1.078558e+05  0.000000e+00  3.280750e+07
 -1.077558e+05  0.000000e+00  3.281323e+07
 -1.076558e+05  0.000000e+00  3.281883e+07
 -1.075558e+05  0.000000e+00  3.282430e+07
 -1.074558e+05  0.000000e+00  3.282964e+07
 -1.073558e+05  0.000000e+00  3.283486e+07
 -1.072558e+05  0.000000e+00  3.283995e+07
 -1.071558e+05  0.000000e+00  3.284491e+07
 -1.070558e+05  0.000000e+00  3.284974e+07
 -1.069558e+05  0.000000e+00  3.285446e+07
 -1.068558e+05  0.000000e+00  3.285905e+07
 -1.067558e+05  0.000000e+00  3.286351e+07
 -1.066558e+05  0.000000e+00  3.286785e+07
 -1.065558e+05  0.000000e+00  3.287208e+07
 -1.064558e+05  0.000000e+00  3.287618e+07
 -1.063558e+05  0.000000e+00  3.288015e+07
 -1.062558e+05  0.000000e+00  3.288402e+07
 -1.061558e+05  0.000000e+00  3.288776e+07
 -1.060558e+05  0.000000e+00  3.289138e+07
 -1.059558e+05  0.000000e+00  3.289488e+07
 -1.058558e+05  0.000000e+00  3.289827e+07
 -1.057558e+05  0.000000e+00  3.290155e+07
 -1.056558e+05  0.000000e+00  3.290470e+07
 -1.055558e+05  0.000000e+00  3.290774e+07
 -1.054558e+05  0.000000e+00  3.291067e+07
 -1.053558e+05  0.000000e+00  3.291349e+07
 -1.052558e+05  0.000000e+00  3.291619e+07
 -1.051558e+05  0.000000e+00  3.291878e+07
 -1.050558e+05  0.000000e+00  3.292126e+07
 -1.049558e+05  0.000000e+00  3.292363e+07
 -1.048558e+05  0.000000e+00  3.292589e+07
 -1.047558e+05  0.000000e+00  3.292804e+07
 -1.046558e+05  0.000000e+00  3.293008e+07
 -1.045558e+05  0.000000e+00  3.293201e+07
 -1.044558e+05  0.000000e+00  3.293383e+07
 -1.043558e+05  0.000000e+00  3.293555e+07
 -1.042558e+05  0.000000e+00  3.293717e+07
 -1.041558e+05  0.000000e+00  3.293868e+07
 -1.040558e+05  0.000000e+00  3.294008e+07
 -1.039558e+05  0.000000e+00  3.294138e+07
 -1.038558e+05  0.000000e+00  3.294258e+07
 -1.037558e+05  0.000000e+00  3.294367e+07
 -1.036558e+05  0.000000e+00  3.294466e+07
 -1.035558e+05  0.000000e+00  3.294555e+07
 -1.034558e+05  0.000000e+00  3.294634e+07
 -1.033558e+05  0.000000e+00  3.294703e+07
 -1.032558e+05  0.000000e+00  3.294763e+07
 -1.031558e+05  0.000000e+00  3.294812e+07
 -1.030558e+05  0.000000e+00  3.294851e+07
 -1.029558e+05  0.000000e+00  3.294881e+07
 -1.028558e+05  0.000000e+00  3.294901e+07
 -1.027558e+05  0.000000e+00  3.294912e+07
 -1.026558e+05  0.000000e+00  3.294913e+07
 -1.025558e+05  0.000000e+00  3.294905e+07
 -1.024558e+05  0.000000e+00  3.294887e+07
 -1.023558e+05  0.000000e+00  3.294859e+07
 -1.022558e+05  0.000000e+00  3.294823e+07
 -1.021558e+05  0.000000e+00  3.294777e+07
 -1.020558e+05  0.000000e+00  3.294723e+07
 -1.019558e+05  0.000000e+00  3.294659e+07
 -1.018558e+05  0.000000e+00  3.294586e+07
 -1.017558e+05  0.000000e+00  3.294504e+07
 -1.016558e+05  0.000000e+00  3.294413e+07
 -1.015558e+05  0.000000e+00  3.294314e+07
 -1.014558e+05  0.000000e+00  3.294205e+07
 -1.013558e+05  0.000000e+00  3.294088e+07
 -1.012558e+05  0.000000e+00  3.293962e+07
 -1.011558e+05  0.000000e+00  3.293828e+07
 -1.010558e+05  0.000000e+00  3.293685e+07
 -1.009558e+05  0.000000e+00  3.293534e+07
 -1.008558e+05  0.000000e+00  3.293375e+07
 -1.007558e+05  0.000000e+00  3.293207e+07
 -1.006558e+05  0.000000e+00  3.293030e+07
 -1.005558e+05  0.000000e+00  3.292846e+07
 -1.004558e+05  0.000000e+00  3.292653e+07
 -1.003558e+05  0.000000e+00  3.292453e+07
 -1.002558e+05  0.000000e+00  3.292244e+07
 -1.001558e+05  0.000000e+00  3.292027e+07
 -1.000558e+05  0.000000e+00  3.291803e+07
 -9.995578e+04  0.000000e+00  3.291570e+07
 -9.985578e+04  0.000000e+00  3.291330e+07
 -9.975578e+04  0.000000e+00  3.291082e+07
 -9.965578e+04  0.000000e+00  3.290826e+07
 -9.955578e+04  0.000000e+00  3.290563e+07
 -9.945578e+04  0.000000e+00  3.290293e+07
 -9.935578e+04  0.000000e+00  3.290014e+07
 -9.925578e+04  0.000000e+00  3.289729e+07
 -9.915578e+04  0.000000e+00  3.289436e+07
 -9.905578e+04  0.000000e+00  3.289135e+07
 -9.895578e+04  0.000000e+00  3.288828e+07
 -9.885578e+04  0.000000e+00  3.288513e+07
 -9.875578e+04  0.000000e+00  3.288191e+07
 -9.865578e+04  0.000000e+00  3.287862e+07
 -9.855578e+04  0.000000e+00  3.287526e+07
 -9.845578e+04  0.000000e+00  3.287183e+07
 -9.835578e+04  0.000000e+00  3.286833e+07
 -9.825578e+04  0.000000e+00  3.286476e+07
 -9.815578e+04  0.000000e+00  3.286113e+07
 -9.805578e+04  0.000000e+00  3.285743e+07
 -9.795578e+04  0.000000e+00  3.285366e+07
 -9.785578e+04  0.000000e+00  3.284982e+07
 -9.775578e+04  0.000000e+00  3.284592e+07
 -9.765578e+04  0.000000e+00  3.284196e+07
